코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A003100,선광,운송 및 물류,운송인프라,71.41,184,4.92,117,1.76,440,0.89,175,38.9,557,9.37,188,-14.79,289
A035760,CJ ENM,미디어 및 엔터,미디어,71.41,184,5.27,133,1.08,298,1.02,209,12.33,278,11.13,235,-24.36,343
A041930,동아화성,자동차 및 관련부품,기타 자동차부품,71.37,186,21.96,487,0.78,226,1.62,347,10.44,225,13.17,298,-11.77,272
A049960,쎌바이오텍,제약 및 바이오,바이오,71.34,187,19.26,455,4.25,636,1.89,397,17.03,378,55.29,590,30.75,127
A000270,기아,자동차 및 관련부품,완성차,71.3,188,5.63,151,0.59,163,1.16,248,8.67,180,13.29,301,-26.46,363
A078340,컴투스,미디어 및 엔터,게임,70.94,189,16.4,422,3.21,577,1.54,326,14.76,332,15.64,361,2.09,206
A028260,삼성물산,지주사,지주사,70.81,190,21.59,482,0.84,239,0.84,159,7.46,141,25.65,487,-15.3,293
A017390,서울가스,유틸리티,도시가스,70.8,191,42.42,593,0.54,152,0.65,97,12.6,284,338.75,707,-6,239
A092070,디엔에프,반도체 관련장비 및 부품,반도체 부품,70.77,192,15.29,403,2.36,516,2.18,435,30.95,528,21.06,440,16.26,158
A166480,코아스템,제약 및 바이오,바이오,70.72,193,-8263.06,707,11.18,756,5.98,756,8.93,183,-38.78,722,154.24,25
A251270,넷마블,미디어 및 엔터,게임,70.7,194,26.53,522,4.81,657,2.26,450,53.7,605,39.63,550,60.31,82
A263690,디알젬,의료기기 및 용품,의료기기,70.55,195,12.76,353,1.47,394,2.9,542,15.69,357,7.08,114,-8.99,255
A073490,이노와이어리스,통신,통신장비,70.47,196,19.64,464,3.99,625,3.18,580,48.3,586,34.18,532,57.03,85
A034810,해성산업,일반서비스,부동산,70.47,196,5.45,144,0.58,158,0.56,65,2.33,14,11.3,240,-35.23,446
A014830,유니드,화학,기타 화학,70.45,198,8.28,238,0.73,214,0.83,151,4.61,57,5.68,71,-33.32,428
