코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A008870,금비,종이 및 용기,용기 및 포장재,78.88,125,881,1650,3.42,111,0.41,218,0.05,317,0.84,288,10.23,381,5.68,151,90.84,175,-30.11,1035,
A007330,푸른저축은행,금융,은행,78.82,126,2398,821,8,419,4.79,1571,-0.52,1328,0.88,330,31.11,1012,43.89,1041,252.47,25,365.72,54,
A267980,매일유업,식음료,식료품,78.75,127,6000,359,7.59,388,0.41,218,-0.58,1328,1.33,643,9.34,328,8.46,294,15.96,537,2.38,536,
A012200,계양전기,기계,전동공구,78.74,128,1698,1066,8.04,422,0.4,205,0.06,373,0.86,309,10.94,422,17.44,673,-3.5,879,72.03,224,
A034810,해성산업,일반서비스,부동산,78.67,129,4533,457,5.9,277,0.45,247,0,1328,0.61,120,2.52,19,7.58,253,-7.72,955,20.36,410,
A002200,한국수출포장,종이 및 용기,용기 및 포장재,78.56,130,1112,1446,6.28,307,0.37,178,0.07,416,0.44,44,4.57,88,3.58,50,-20.35,1219,80.58,213,
A004960,한신공영,건설 및 건축자재,중견건설사,78.52,131,3014,663,3,90,0.28,108,-0.16,1328,0.49,65,6.25,174,6.55,203,-10.02,1003,23.11,398,
A267260,현대일렉트릭,기계,기계,78.51,132,7462,290,3.81,130,0.49,279,0.25,805,1.07,471,11.99,488,10.68,431,29.24,426,-20.97,888,
A010100,한국프랜지,자동차 및 관련부품,엔진부품,78.49,133,1134,1428,1.67,27,0.12,16,0.1,516,0.47,55,3.15,37,3.5,44,30.8,417,-36.69,1156,
A067900,와이엔텍,일반서비스,환경서비스,78.26,134,2994,664,8.94,480,2.69,1267,0.96,1128,1.83,938,13.04,528,9.53,362,73.11,220,47.69,290,
A069510,에스텍,전기 및 전자기기,전자기기,78.16,135,1315,1306,27.56,1058,0.39,192,0.66,1052,0.82,268,9.91,360,9.8,384,68.9,229,2.32,538,
A002460,화성산업,건설 및 건축자재,중견건설사,78,136,1812,1014,3.69,123,0.67,424,-0.12,1328,0.46,50,9.19,323,17.66,678,5.74,655,31.54,352,
A012330,현대모비스,자동차 및 관련부품,기타 자동차부품,77.8,137,268738,13,11.85,639,0.68,437,0.16,679,0.8,256,11.2,440,13.7,548,7.01,635,-6.73,698,
A131180,딜리,전기 및 전자기기,전자기기,77.79,138,634,1847,22.3,963,1.95,1086,-0.62,1328,1.14,521,10.58,399,22.42,801,337.8,12,1081.82,11,
A000970,한국주철관,철강 및 비철강,강관,77.69,139,2280,859,4.21,156,0.55,328,0.01,1,0.81,264,5.72,143,4.81,112,5.3,660,-31.97,1065,
A080470,성창오토텍,자동차 및 관련부품,공조부품,77.69,140,741,1766,9.53,512,0.48,269,0.04,265,1.84,942,7.5,246,9.78,381,40.39,367,5.2,519,
A036560,영풍정밀,기계,기계,77.65,141,1780,1031,16.79,820,2.85,1305,-0.72,1328,0.62,132,7.59,250,37.11,997,62.21,260,138.53,135,
A005490,POSCO,철강 및 비철강,제철,77.45,142,299923,11,3.98,138,0.47,262,0.05,317,0.66,160,7.32,240,4.83,114,-3.72,885,-32.05,1067,
A005160,동국산업,철강 및 비철강,강판,77.43,143,2186,883,3.62,117,0.32,138,1.38,1175,0.57,104,8.72,298,7.13,231,18.92,508,-20.45,877,
